student_id,sex,age,traveltime,studytime,failures,Medu,Fedu,paid,higher,internet,romantic,freetime,promoted
0,F,18,2,2,0,4,4,no,yes,no,no,3,0
1,F,17,1,2,0,1,1,no,yes,yes,no,3,0
2,F,15,1,2,3,1,1,yes,yes,yes,no,3,1
3,F,15,1,3,0,4,2,yes,yes,yes,yes,2,1
4,F,16,1,2,0,3,3,yes,yes,no,no,3,1
5,M,16,1,2,0,4,3,yes,yes,yes,no,4,1
6,M,16,1,2,0,2,2,no,yes,yes,no,4,1
7,F,17,2,2,0,4,4,no,yes,no,no,1,0
8,M,15,1,2,0,3,2,yes,yes,yes,no,2,1
9,M,15,1,2,0,3,4,yes,yes,yes,no,5,1
10,F,15,1,2,0,4,4,yes,yes,yes,no,3,0
11,F,15,3,3,0,2,1,no,yes,yes,no,2,1
12,M,15,1,1,0,4,4,yes,yes,yes,no,3,1
13,M,15,2,2,0,4,3,yes,yes,yes,no,4,1
14,M,15,1,3,0,2,2,no,yes,yes,yes,5,1
15,F,16,1,1,0,4,4,no,yes,yes,no,4,1
16,F,16,1,3,0,4,4,yes,yes,yes,no,2,1
17,F,16,3,2,0,3,3,no,yes,no,no,3,1
18,M,17,1,1,3,3,2,no,yes,yes,no,5,0
19,M,16,1,1,0,4,3,yes,yes,yes,no,1,1
20,M,15,1,2,0,4,3,no,yes,yes,no,4,1
21,M,15,1,1,0,4,4,yes,yes,yes,no,4,1
22,M,16,1,2,0,4,2,no,yes,yes,no,5,1
23,M,16,2,2,0,2,2,no,yes,yes,no,4,1
24,F,15,1,3,0,2,4,yes,yes,yes,no,3,0
25,F,16,1,1,2,2,2,yes,yes,yes,no,2,0
26,M,15,1,1,0,2,2,yes,yes,yes,no,2,1
27,M,15,1,1,0,4,2,yes,yes,yes,no,2,1
28,M,16,1,2,0,3,4,no,yes,yes,no,3,1
29,M,16,1,2,0,4,4,yes,yes,yes,yes,4,1
30,M,15,1,2,0,4,4,yes,yes,yes,no,4,1
31,M,15,2,2,0,4,4,no,yes,yes,no,3,1
32,M,15,1,2,0,4,3,no,yes,yes,yes,5,1
33,M,15,1,2,0,3,3,no,yes,yes,no,3,1
34,M,16,1,1,0,3,2,yes,yes,yes,no,4,1
35,F,15,2,1,0,2,3,no,yes,no,no,5,0
36,M,15,1,3,0,4,3,no,yes,yes,no,4,1
37,M,16,2,3,0,4,4,no,yes,yes,yes,4,1
38,F,15,1,3,0,3,4,yes,yes,yes,no,3,1
39,F,15,1,1,0,2,2,yes,yes,no,no,3,1
40,F,16,2,2,1,2,2,no,yes,yes,yes,3,1
41,M,15,1,1,0,4,4,no,yes,yes,yes,4,1
42,M,15,1,2,0,4,4,no,yes,yes,no,3,1
43,M,15,1,1,0,2,2,no,yes,yes,no,4,1
44,F,16,2,2,1,2,2,no,yes,yes,no,3,0
45,F,15,1,2,0,4,3,yes,yes,yes,yes,2,0
46,F,16,1,2,0,3,3,no,yes,yes,no,3,1
47,M,16,1,4,0,4,3,no,yes,yes,no,2,1
48,M,15,1,2,0,4,2,yes,yes,no,no,3,1
49,F,15,1,2,1,4,4,no,yes,yes,no,4,0
50,F,16,3,2,0,2,2,yes,yes,yes,no,3,1
51,F,15,1,2,0,4,2,yes,yes,yes,no,3,1
52,M,15,2,1,1,4,2,no,yes,no,no,5,1
53,F,15,1,1,0,4,4,yes,yes,yes,no,3,1
54,F,15,1,1,0,3,3,yes,yes,yes,no,3,1
55,F,16,1,2,0,2,1,yes,yes,yes,yes,3,1
56,F,15,1,2,0,4,3,yes,yes,yes,no,3,1
57,M,15,1,2,0,4,4,no,yes,no,no,2,1
58,M,15,1,2,0,1,2,no,yes,yes,no,3,0
59,F,16,1,2,0,4,2,no,yes,yes,no,2,1
60,F,16,1,2,0,4,4,no,yes,no,no,4,1
61,F,16,4,1,0,1,1,no,yes,yes,yes,5,1
62,F,16,1,2,0,1,2,no,yes,yes,no,4,0
63,F,16,1,3,0,4,3,yes,yes,yes,no,4,0
64,F,15,1,2,0,4,3,no,yes,yes,yes,4,1
65,F,16,3,2,0,4,3,no,yes,yes,no,4,1
66,M,15,1,4,0,4,4,no,yes,yes,yes,3,1
67,F,16,1,4,0,3,1,yes,yes,yes,no,3,0
68,F,15,2,2,0,2,2,yes,yes,yes,no,1,0
69,F,15,2,4,0,3,1,no,yes,yes,no,4,1
